Car;MPG;Cylinders;Displacement;Horsepower;Model;Origin
STRING;DOUBLE;INT;DOUBLE;DOUBLE;INT;CAT
Chevrolet Chevelle Malibu;18.0;8;307.0;130.0;70;US
Buick Skylark 320;15.0;8;350.0;165.0;70;US
Plymouth Satellite;18.0;8;318.0;150.0;70;US
AMC Rebel SST;16.0;8;304.0;150.0;70;US
Ford Torino;17.0;8;302.0;140.0;70;US
Ford Galaxie 500;15.0;8;429.0;198.0;70;US
Chevrolet Impala;14.0;8;454.0;220.0;70;US
Plymouth Fury iii;14.0;8;440.0;215.0;70;US
Pontiac Catalina;14.0;8;455.0;225.0;70;US
AMC Ambassador DPL;15.0;8;390.0;190.0;70;US
Citroen DS-21 Pallas;0;4;133.0;115.0;70;Europe
Chevrolet Chevelle Concours (sw);0;8;350.0;165.0;70;US
Ford Torino (sw);0;8;351.0;153.0;70;US
Plymouth Satellite (sw);0;8;383.0;175.0;70;US
AMC Rebel SST (sw);0;8;360.0;175.0;70;US
Dodge Challenger SE;15.0;8;383.0;170.0;70;US
Plymouth 'Cuda 340;14.0;8;340.0;160.0;70;US
Ford Mustang Boss 302;0;8;302.0;140.0;70;US
Chevrolet Monte Carlo;15.0;8;400.0;150.0;70;US
Buick Estate Wagon (sw);14.0;8;455.0;225.0;70;US
Toyota Corolla Mark ii;24.0;4;113.0;95.00;70;Japan
Plymouth Duster;22.0;6;198.0;95.00;70;US
AMC Hornet;18.0;6;199.0;97.00;70;US
Ford Maverick;21.0;6;200.0;85.00;70;US
Datsun PL510;27.0;4;97.00;88.00;70;Japan
Volkswagen 1131 Deluxe Sedan;26.0;4;97.00;46.00;70;Europe
Peugeot 504;25.0;4;110.0;87.00;70;Europe
Audi 100 LS;24.0;4;107.0;90.00;70;Europe
Saab 99e;25.0;4;104.0;95.00;70;Europe
BMW 2002;26.0;4;121.0;113.0;70;Europe
AMC Gremlin;21.0;6;199.0;90.00;70;US
Ford F250;10.0;8;360.0;215.0;70;US
Chevy C20;10.0;8;307.0;200.0;70;US
Dodge D200;11.0;8;318.0;210.0;70;US
Hi 1200D;9.0;8;304.0;193.0;70;US
Datsun PL510;27.0;4;97.00;88.00;71;Japan
Chevrolet Vega 2300;28.0;4;140.0;90.00;71;US
Toyota Corolla;25.0;4;113.0;95.00;71;Japan
Ford Pinto;25.0;4;98.00;0;71;US
Volkswagen Super Beetle 117;0;4;97.00;48.00;71;Europe
AMC Gremlin;19.0;6;232.0;100.0;71;US
Plymouth Satellite Custom;16.0;6;225.0;105.0;71;US
Chevrolet Chevelle Malibu;17.0;6;250.0;100.0;71;US
Ford Torino 500;19.0;6;250.0;88.00;71;US
AMC Matador;18.0;6;232.0;100.0;71;US
Chevrolet Impala;14.0;8;350.0;165.0;71;US
Pontiac Catalina Brougham;14.0;8;400.0;175.0;71;US
Ford Galaxie 500;14.0;8;351.0;153.0;71;US

